design	22B2	22B1	22B2_normalized	22B1_normalized
A0001_152[c-]f	6.0	8.0	6.0	8.0
A0001_152[c-]r	6.0	6.0	6.0	6.0
A0001_164[c-]f	7.0	7.0	7.0	7.0
A0001_164[c-]r	7.0	7.0	7.0	7.0
A0001_196[c-]f	11.0	11.0	11.0	11.0
A0001_196[c-]r	11.0	11.0	11.0	11.0
A0001_202[c-]f	20.0	20.0	20.0	20.0
A0001_202[c-]r	20.0	20.0	20.0	20.0
A0001_219[c-]f	2.0	2.0	2.0	2.0
A0001_219[c-]r	2.0	2.0	2.0	2.0
A0001_220[c-]f	3.0	3.0	3.0	3.0
A0001_220[c-]r	3.0	3.0	3.0	3.0
A0001_304[c-]f	4.0	4.0	4.0	4.0
A0001_304[c-]r	4.0	4.0	4.0	4.0
A0001_66[c-]f	3.0	3.0	3.0	3.0
A0001_66[c-]r	3.0	3.0	3.0	3.0
A0001_67[c-]f	10.0	10.0	10.0	10.0
A0001_67[c-]r	10.0	10.0	10.0	10.0
A0001_70[c-]f	0.0	0.0	0.0	0.0
A0001_70[c-]r	0.0	0.0	0.0	0.0
A0002_1433[c-]f	2.0	2.0	2.0	2.0
A0002_1433[c-]r	2.0	2.0	2.0	2.0
A0002_1457[c-]f	2.0	2.0	2.0	2.0
A0002_1457[c-]r	2.0	2.0	2.0	2.0
A0002_1496[c-]f	7.0	7.0	7.0	7.0
A0002_1496[c-]r	7.0	7.0	7.0	7.0
A0002_1509[c-]f	0.0	0.0	0.0	0.0
A0002_1509[c-]r	0.0	0.0	0.0	0.0
A0002_1551[c-]f	16.0	16.0	16.0	16.0
A0002_1551[c-]r	16.0	16.0	16.0	16.0
A0002_1552[c-]f	3.0	3.0	3.0	3.0
A0002_1552[c-]r	3.0	3.0	3.0	3.0
A0002_1553[c-]f	9.0	9.0	9.0	9.0
A0002_1553[c-]r	9.0	9.0	9.0	9.0
A0002_1568[c-]f	1.0	1.0	1.0	1.0
A0002_1568[c-]r	1.0	1.0	1.0	1.0
A0002_1673[c-]f	8.0	8.0	8.0	8.0
A0002_1673[c-]r	8.0	8.0	8.0	8.0
A0002_1802[c-]f	3.0	3.0	3.0	3.0
A0002_1802[c-]r	3.0	3.0	3.0	3.0
A0003_2582[c-]f	12.0	12.0	12.0	12.0
A0003_2582[c-]r	12.0	12.0	12.0	12.0
A0003_2585[c-]f	5.0	5.0	5.0	5.0
A0003_2585[c-]r	5.0	5.0	5.0	5.0
A0003_2651[c-]f	6.0	6.0	6.0	6.0
A0003_2651[c-]r	6.0	6.0	6.0	6.0
A0003_2685[c-]f	8.0	8.0	8.0	8.0
A0003_2685[c-]r	8.0	8.0	8.0	8.0
A0003_2686[c-]f	31.0	31.0	31.0	31.0
A0003_2686[c-]r	31.0	31.0	31.0	31.0
A0003_2710[c-]f	19.0	19.0	19.0	19.0
A0003_2710[c-]r	19.0	19.0	19.0	19.0
A0003_2753[c-]f	6.0	6.0	6.0	6.0
A0003_2753[c-]r	6.0	6.0	6.0	6.0
A0003_2785[c-]f	0.0	0.0	0.0	0.0
A0003_2785[c-]r	0.0	0.0	0.0	0.0
A0003_2795[c-]f	1.0	1.0	1.0	1.0
A0003_2795[c-]r	1.0	1.0	1.0	1.0
A0003_2803[c-]f	1.0	1.0	1.0	1.0
A0003_2803[c-]r	1.0	1.0	1.0	1.0
A0004_2848[c+]f	21.0	21.0	21.0	21.0
A0004_2848[c+]r	21.0	21.0	21.0	21.0
A0004_2872[c+]f	3.0	3.0	3.0	3.0
A0004_2872[c+]r	3.0	3.0	3.0	3.0
A0004_2873[c+]f	11.0	11.0	11.0	11.0
A0004_2873[c+]r	11.0	11.0	11.0	11.0
A0004_2933[c+]f	6.0	6.0	6.0	6.0
A0004_2933[c+]r	6.0	6.0	6.0	6.0
A0004_2951[c+]f	3.0	3.0	3.0	3.0
A0004_2951[c+]r	3.0	3.0	3.0	3.0
A0004_2969[c+]f	4.0	4.0	4.0	4.0
A0004_2969[c+]r	4.0	4.0	4.0	4.0
A0004_3022[c+]f	4.0	4.0	4.0	4.0
A0004_3022[c+]r	4.0	4.0	4.0	4.0
A0004_3068[c+]f	22.0	22.0	22.0	22.0
A0004_3068[c+]r	22.0	22.0	22.0	22.0
A0004_3088[c+]f	4.0	4.0	4.0	4.0
A0004_3088[c+]r	4.0	4.0	4.0	4.0
A0004_3111[c+]f	0.0	0.0	0.0	0.0
A0004_3111[c+]r	0.0	0.0	0.0	0.0
A0005_3167[c+]f	9.0	9.0	9.0	9.0
A0005_3167[c+]r	9.0	9.0	9.0	9.0
A0005_3168[c+]f	19.0	19.0	19.0	19.0
A0005_3168[c+]r	19.0	19.0	19.0	19.0
A0005_3172[c+]f	10.0	10.0	10.0	10.0
A0005_3172[c+]r	10.0	10.0	10.0	10.0
A0005_3264[c+]f	21.0	21.0	21.0	21.0
A0005_3264[c+]r	21.0	21.0	21.0	21.0
A0005_3270[c+]f	4.0	4.0	4.0	4.0
A0005_3270[c+]r	4.0	4.0	4.0	4.0
A0005_3336[c+]f	14.0	14.0	14.0	14.0
A0005_3336[c+]r	14.0	14.0	14.0	14.0
A0005_3337[c+]f	12.0	12.0	12.0	12.0
A0005_3337[c+]r	12.0	12.0	12.0	12.0
A0005_3349[c+]f	26.0	26.0	26.0	26.0
A0005_3349[c+]r	26.0	26.0	26.0	26.0
A0005_3364[c+]f	7.0	7.0	7.0	7.0
A0005_3364[c+]r	7.0	7.0	7.0	7.0
A0005_3407[c+]f	0.0	0.0	0.0	0.0
A0005_3407[c+]r	0.0	0.0	0.0	0.0
A0006_3811[c+]f	11.0	11.0	11.0	11.0
A0006_3811[c+]r	11.0	11.0	11.0	11.0
A0006_3911[c+]f	3.0	3.0	3.0	3.0
A0006_3911[c+]r	3.0	3.0	3.0	3.0
A0006_3912[c+]f	1.0	1.0	1.0	1.0
A0006_3912[c+]r	1.0	1.0	1.0	1.0
A0006_3950[c+]f	11.0	11.0	11.0	11.0
A0006_3950[c+]r	11.0	11.0	11.0	11.0
A0006_3959[c+]f	6.0	6.0	6.0	6.0
A0006_3959[c+]r	6.0	6.0	6.0	6.0
A0006_3973[c+]f	22.0	22.0	22.0	22.0
A0006_3973[c+]r	22.0	22.0	22.0	22.0
A0006_3979[c+]f	4.0	4.0	4.0	4.0
A0006_3979[c+]r	4.0	4.0	4.0	4.0
A0006_4031[c+]f	13.0	13.0	13.0	13.0
A0006_4031[c+]r	13.0	13.0	13.0	13.0
A0006_4076[c+]f	10.0	10.0	10.0	10.0
A0006_4076[c+]r	10.0	10.0	10.0	10.0
A0006_4084[c+]f	6.0	6.0	6.0	6.0
A0006_4084[c+]r	6.0	6.0	6.0	6.0
A0007_4394[c+]f	4.0	4.0	4.0	4.0
A0007_4394[c+]r	4.0	4.0	4.0	4.0
A0007_4489[c+]f	21.0	21.0	21.0	21.0
A0007_4489[c+]r	21.0	21.0	21.0	21.0
A0007_4490[c+]f	6.0	6.0	6.0	6.0
A0007_4490[c+]r	6.0	6.0	6.0	6.0
A0007_4535[c+]f	62.0	62.0	62.0	62.0
A0007_4535[c+]r	62.0	62.0	62.0	62.0
A0007_4583[c+]f	10.0	10.0	10.0	10.0
A0007_4583[c+]r	10.0	10.0	10.0	10.0
A0007_4608[c+]f	7.0	7.0	7.0	7.0
A0007_4608[c+]r	7.0	7.0	7.0	7.0
A0007_4630[c+]f	5.0	5.0	5.0	5.0
A0007_4630[c+]r	5.0	5.0	5.0	5.0
A0007_4733[c+]f	19.0	19.0	19.0	19.0
A0007_4733[c+]r	19.0	19.0	19.0	19.0
A0007_4747[c+]f	5.0	5.0	5.0	5.0
A0007_4747[c+]r	5.0	5.0	5.0	5.0
A0007_4756[c+]f	6.0	6.0	6.0	6.0
A0007_4756[c+]r	6.0	6.0	6.0	6.0
A0008_5031[c+]f	31.0	31.0	31.0	31.0
A0008_5031[c+]r	31.0	31.0	31.0	31.0
A0008_5032[c+]f	3.0	3.0	3.0	3.0
A0008_5032[c+]r	3.0	3.0	3.0	3.0
A0008_5080[c+]f	7.0	7.0	7.0	7.0
A0008_5080[c+]r	7.0	7.0	7.0	7.0
A0008_5109[c+]f	26.0	26.0	26.0	26.0
A0008_5109[c+]r	26.0	26.0	26.0	26.0
A0008_5141[c+]f	9.0	9.0	9.0	9.0
A0008_5141[c+]r	9.0	9.0	9.0	9.0
A0008_5166[c+]f	17.0	17.0	17.0	17.0
A0008_5166[c+]r	17.0	17.0	17.0	17.0
A0008_5217[c+]f	0.0	0.0	0.0	0.0
A0008_5217[c+]r	0.0	0.0	0.0	0.0
A0008_5218[c+]f	15.0	15.0	15.0	15.0
A0008_5218[c+]r	15.0	15.0	15.0	15.0
A0008_5231[c+]f	8.0	8.0	8.0	8.0
A0008_5231[c+]r	8.0	8.0	8.0	8.0
A0008_5232[c+]f	3.0	3.0	3.0	3.0
A0008_5232[c+]r	3.0	3.0	3.0	3.0
A0009_5444[c+]f	1.0	1.0	1.0	1.0
A0009_5444[c+]r	1.0	1.0	1.0	1.0
A0009_5469[c+]f	0.0	0.0	0.0	0.0
A0009_5469[c+]r	0.0	0.0	0.0	0.0
A0009_5498[c+]f	2.0	2.0	2.0	2.0
A0009_5498[c+]r	2.0	2.0	2.0	2.0
A0009_5549[c+]f	1.0	1.0	1.0	1.0
A0009_5549[c+]r	1.0	1.0	1.0	1.0
A0009_5558[c+]f	2.0	2.0	2.0	2.0
A0009_5558[c+]r	2.0	2.0	2.0	2.0
A0009_5579[c+]f	5.0	5.0	5.0	5.0
A0009_5579[c+]r	5.0	5.0	5.0	5.0
A0009_5600[c+]f	9.0	9.0	9.0	9.0
A0009_5600[c+]r	9.0	9.0	9.0	9.0
A0009_5603[c+]f	15.0	15.0	15.0	15.0
A0009_5603[c+]r	15.0	15.0	15.0	15.0
A0009_5623[c+]f	33.0	33.0	33.0	33.0
A0009_5623[c+]r	33.0	33.0	33.0	33.0
A0009_5624[c+]f	9.0	9.0	9.0	9.0
A0009_5624[c+]r	9.0	9.0	9.0	9.0
A0010_5739[c-]f	25.0	25.0	25.0	25.0
A0010_5739[c-]r	25.0	25.0	25.0	25.0
A0010_5849[c-]f	1.0	1.0	1.0	1.0
A0010_5849[c-]r	1.0	1.0	1.0	1.0
A0010_5893[c-]f	26.0	26.0	26.0	26.0
A0010_5893[c-]r	26.0	26.0	26.0	26.0
A0010_5894[c-]f	5.0	5.0	5.0	5.0
A0010_5894[c-]r	5.0	5.0	5.0	5.0
A0010_5913[c-]f	12.0	12.0	12.0	12.0
A0010_5913[c-]r	12.0	12.0	12.0	12.0
A0010_5972[c-]f	6.0	6.0	6.0	6.0
A0010_5972[c-]r	6.0	6.0	6.0	6.0
A0010_5973[c-]f	10.0	10.0	10.0	10.0
A0010_5973[c-]r	10.0	10.0	10.0	10.0
A0010_6015[c-]f	22.0	22.0	22.0	22.0
A0010_6015[c-]r	22.0	22.0	22.0	22.0
A0010_6016[c-]f	7.0	7.0	7.0	7.0
A0010_6016[c-]r	7.0	7.0	7.0	7.0
A0010_6037[c-]f	13.0	13.0	13.0	13.0
A0010_6037[c-]r	13.0	13.0	13.0	13.0
A0011_7067[c-]f	11.0	11.0	11.0	11.0
A0011_7067[c-]r	11.0	11.0	11.0	11.0
A0011_7068[c-]f	4.0	4.0	4.0	4.0
A0011_7068[c-]r	4.0	4.0	4.0	4.0
A0011_7069[c-]f	6.0	6.0	6.0	6.0
A0011_7069[c-]r	6.0	6.0	6.0	6.0
A0011_7171[c-]f	3.0	3.0	3.0	3.0
A0011_7171[c-]r	3.0	3.0	3.0	3.0
A0011_7185[c-]f	32.0	32.0	32.0	32.0
A0011_7185[c-]r	32.0	32.0	32.0	32.0
A0011_7239[c-]f	0.0	0.0	0.0	0.0
A0011_7239[c-]r	0.0	0.0	0.0	0.0
A0011_7269[c-]f	5.0	5.0	5.0	5.0
A0011_7269[c-]r	5.0	5.0	5.0	5.0
A0011_7276[c-]f	1.0	1.0	1.0	1.0
A0011_7276[c-]r	1.0	1.0	1.0	1.0
A0011_7308[c-]f	9.0	9.0	9.0	9.0
A0011_7308[c-]r	9.0	9.0	9.0	9.0
A0011_7533[c-]f	5.0	5.0	5.0	5.0
A0011_7533[c-]r	5.0	5.0	5.0	5.0
A0012_7757[c-]f	4.0	4.0	4.0	4.0
A0012_7757[c-]r	4.0	4.0	4.0	4.0
A0012_7758[c-]f	3.0	3.0	3.0	3.0
A0012_7758[c-]r	3.0	3.0	3.0	3.0
A0012_7847[c-]f	9.0	9.0	9.0	9.0
A0012_7847[c-]r	9.0	9.0	9.0	9.0
A0012_7848[c-]f	0.0	0.0	0.0	0.0
A0012_7848[c-]r	0.0	0.0	0.0	0.0
A0012_7902[c-]f	2.0	2.0	2.0	2.0
A0012_7902[c-]r	2.0	2.0	2.0	2.0
A0012_7955[c-]f	23.0	23.0	23.0	23.0
A0012_7955[c-]r	23.0	23.0	23.0	23.0
A0012_8108[c-]f	25.0	25.0	25.0	25.0
A0012_8108[c-]r	25.0	25.0	25.0	25.0
A0012_8109[c-]f	1.0	1.0	1.0	1.0
A0012_8109[c-]r	1.0	1.0	1.0	1.0
A0012_8110[c-]f	22.0	22.0	22.0	22.0
A0012_8110[c-]r	22.0	22.0	22.0	22.0
A0012_8194[c-]f	14.0	14.0	14.0	14.0
A0012_8194[c-]r	14.0	14.0	14.0	14.0
A0013_8371[c-]f	12.0	12.0	12.0	12.0
A0013_8371[c-]r	12.0	12.0	12.0	12.0
A0013_8375[c-]f	11.0	11.0	11.0	11.0
A0013_8375[c-]r	11.0	11.0	11.0	11.0
A0013_8442[c-]f	2.0	2.0	2.0	2.0
A0013_8442[c-]r	2.0	2.0	2.0	2.0
A0013_8466[c-]f	2.0	2.0	2.0	2.0
A0013_8466[c-]r	2.0	2.0	2.0	2.0
A0013_8552[c-]f	2.0	2.0	2.0	2.0
A0013_8552[c-]r	2.0	2.0	2.0	2.0
A0013_8616[c-]f	4.0	4.0	4.0	4.0
A0013_8616[c-]r	4.0	4.0	4.0	4.0
A0013_8630[c-]f	0.0	0.0	0.0	0.0
A0013_8630[c-]r	0.0	0.0	0.0	0.0
A0013_8637[c-]f	6.0	6.0	6.0	6.0
A0013_8637[c-]r	6.0	6.0	6.0	6.0
A0013_8697[c-]f	11.0	11.0	11.0	11.0
A0013_8697[c-]r	11.0	11.0	11.0	11.0
A0013_8760[c-]f	3.0	3.0	3.0	3.0
A0013_8760[c-]r	3.0	3.0	3.0	3.0
A0014_10039[c-]f	14.0	14.0	14.0	14.0
A0014_10039[c-]r	14.0	14.0	14.0	14.0
A0014_10267[c-]f	14.0	14.0	14.0	14.0
A0014_10267[c-]r	14.0	14.0	14.0	14.0
A0014_9726[c-]f	17.0	17.0	17.0	17.0
A0014_9726[c-]r	17.0	17.0	17.0	17.0
A0014_9741[c-]f	10.0	10.0	10.0	10.0
A0014_9741[c-]r	10.0	10.0	10.0	10.0
A0014_9784[c-]f	15.0	15.0	15.0	15.0
A0014_9784[c-]r	15.0	15.0	15.0	15.0
A0014_9846[c-]f	0.0	0.0	0.0	0.0
A0014_9846[c-]r	0.0	0.0	0.0	0.0
A0014_9847[c-]f	0.0	0.0	0.0	0.0
A0014_9847[c-]r	0.0	0.0	0.0	0.0
A0014_9855[c-]f	33.0	33.0	33.0	33.0
A0014_9855[c-]r	33.0	33.0	33.0	33.0
A0014_9926[c-]f	11.0	11.0	11.0	11.0
A0014_9926[c-]r	11.0	11.0	11.0	11.0
A0014_9974[c-]f	25.0	25.0	25.0	25.0
A0014_9974[c-]r	25.0	25.0	25.0	25.0
A0015_10671[c-]f	5.0	5.0	5.0	5.0
A0015_10671[c-]r	5.0	5.0	5.0	5.0
A0015_10700[c-]f	10.0	10.0	10.0	10.0
A0015_10700[c-]r	10.0	10.0	10.0	10.0
A0015_10745[c-]f	7.0	7.0	7.0	7.0
A0015_10745[c-]r	7.0	7.0	7.0	7.0
A0015_10746[c-]f	13.0	13.0	13.0	13.0
A0015_10746[c-]r	13.0	13.0	13.0	13.0
A0015_10759[c-]f	28.0	28.0	28.0	28.0
A0015_10759[c-]r	28.0	28.0	28.0	28.0
A0015_10762[c-]f	25.0	25.0	25.0	25.0
A0015_10762[c-]r	25.0	25.0	25.0	25.0
A0015_10780[c-]f	25.0	25.0	25.0	25.0
A0015_10780[c-]r	25.0	25.0	25.0	25.0
A0015_10781[c-]f	10.0	10.0	10.0	10.0
A0015_10781[c-]r	10.0	10.0	10.0	10.0
A0015_10804[c-]f	0.0	0.0	0.0	0.0
A0015_10804[c-]r	0.0	0.0	0.0	0.0
A0015_10805[c-]f	4.0	4.0	4.0	4.0
A0015_10805[c-]r	4.0	4.0	4.0	4.0
A0016_11552[c+]f	23.0	23.0	23.0	23.0
A0016_11552[c+]r	23.0	23.0	23.0	23.0
A0016_11592[c+]f	8.0	8.0	8.0	8.0
A0016_11592[c+]r	8.0	8.0	8.0	8.0
A0016_11600[c+]f	47.0	47.0	47.0	47.0
A0016_11600[c+]r	47.0	47.0	47.0	47.0
A0016_11628[c+]f	14.0	14.0	14.0	14.0
A0016_11628[c+]r	14.0	14.0	14.0	14.0
A0016_11629[c+]f	2.0	2.0	2.0	2.0
A0016_11629[c+]r	2.0	2.0	2.0	2.0
A0016_11662[c+]f	22.0	22.0	22.0	22.0
A0016_11662[c+]r	22.0	22.0	22.0	22.0
A0016_11663[c+]f	25.0	25.0	25.0	25.0
A0016_11663[c+]r	25.0	25.0	25.0	25.0
A0016_11678[c+]f	2.0	2.0	2.0	2.0
A0016_11678[c+]r	2.0	2.0	2.0	2.0
A0016_11754[c+]f	9.0	9.0	9.0	9.0
A0016_11754[c+]r	9.0	9.0	9.0	9.0
A0016_11755[c+]f	1.0	1.0	1.0	1.0
A0016_11755[c+]r	1.0	1.0	1.0	1.0
A0017_11899[c+]f	3.0	3.0	3.0	3.0
A0017_11899[c+]r	3.0	3.0	3.0	3.0
A0017_11918[c+]f	17.0	17.0	17.0	17.0
A0017_11918[c+]r	17.0	17.0	17.0	17.0
A0017_12068[c+]f	365.0	365.0	365.0	365.0
A0017_12068[c+]r	365.0	365.0	365.0	365.0
A0017_12127[c+]f	11.0	11.0	11.0	11.0
A0017_12127[c+]r	11.0	11.0	11.0	11.0
A0017_12128[c+]f	0.0	0.0	0.0	0.0
A0017_12128[c+]r	0.0	0.0	0.0	0.0
A0017_12142[c+]f	6.0	6.0	6.0	6.0
A0017_12142[c+]r	6.0	6.0	6.0	6.0
A0017_12145[c+]f	31.0	31.0	31.0	31.0
A0017_12145[c+]r	31.0	31.0	31.0	31.0
A0017_12153[c+]f	1.0	1.0	1.0	1.0
A0017_12153[c+]r	1.0	1.0	1.0	1.0
A0017_12154[c+]f	14.0	14.0	14.0	14.0
A0017_12154[c+]r	14.0	14.0	14.0	14.0
A0017_12155[c+]f	12.0	12.0	12.0	12.0
A0017_12155[c+]r	12.0	12.0	12.0	12.0
A0018_12468[c-]f	9.0	9.0	9.0	9.0
A0018_12468[c-]r	9.0	9.0	9.0	9.0
A0018_12471[c-]f	7.0	7.0	7.0	7.0
A0018_12471[c-]r	7.0	7.0	7.0	7.0
A0018_12477[c-]f	10.0	10.0	10.0	10.0
A0018_12477[c-]r	10.0	10.0	10.0	10.0
A0018_12494[c-]f	5.0	5.0	5.0	5.0
A0018_12494[c-]r	5.0	5.0	5.0	5.0
A0018_12518[c-]f	1.0	1.0	1.0	1.0
A0018_12518[c-]r	1.0	1.0	1.0	1.0
A0018_12535[c-]f	4.0	4.0	4.0	4.0
A0018_12535[c-]r	4.0	4.0	4.0	4.0
A0018_12576[c-]f	8.0	8.0	8.0	8.0
A0018_12576[c-]r	8.0	8.0	8.0	8.0
A0018_12579[c-]f	8.0	8.0	8.0	8.0
A0018_12579[c-]r	8.0	8.0	8.0	8.0
A0018_12582[c-]f	6.0	6.0	6.0	6.0
A0018_12582[c-]r	6.0	6.0	6.0	6.0
A0018_12600[c-]f	3.0	3.0	3.0	3.0
A0018_12600[c-]r	3.0	3.0	3.0	3.0
A0019_12652[c-]f	4.0	4.0	4.0	4.0
A0019_12652[c-]r	4.0	4.0	4.0	4.0
A0019_12688[c-]f	22.0	22.0	22.0	22.0
A0019_12688[c-]r	22.0	22.0	22.0	22.0
A0019_12787[c-]f	1.0	1.0	1.0	1.0
A0019_12787[c-]r	1.0	1.0	1.0	1.0
A0019_12870[c-]f	0.0	0.0	0.0	0.0
A0019_12870[c-]r	0.0	0.0	0.0	0.0
A0019_12892[c-]f	5.0	5.0	5.0	5.0
A0019_12892[c-]r	5.0	5.0	5.0	5.0
A0019_12912[c-]f	4.0	4.0	4.0	4.0
A0019_12912[c-]r	4.0	4.0	4.0	4.0
A0019_12938[c-]f	16.0	16.0	16.0	16.0
A0019_12938[c-]r	16.0	16.0	16.0	16.0
A0019_12986[c-]f	1.0	1.0	1.0	1.0
A0019_12986[c-]r	1.0	1.0	1.0	1.0
A0019_13099[c-]f	7.0	7.0	7.0	7.0
A0019_13099[c-]r	7.0	7.0	7.0	7.0
A0019_13151[c-]f	7.0	7.0	7.0	7.0
A0019_13151[c-]r	7.0	7.0	7.0	7.0
A0020_14197[c-]f	3.0	3.0	3.0	3.0
A0020_14197[c-]r	3.0	3.0	3.0	3.0
A0020_14238[c-]f	0.0	0.0	0.0	0.0
A0020_14238[c-]r	0.0	0.0	0.0	0.0
A0020_14260[c-]f	58.0	58.0	58.0	58.0
A0020_14260[c-]r	58.0	58.0	58.0	58.0
A0020_14261[c-]f	12.0	12.0	12.0	12.0
A0020_14261[c-]r	12.0	12.0	12.0	12.0
A0020_14410[c-]f	11.0	11.0	11.0	11.0
A0020_14410[c-]r	11.0	11.0	11.0	11.0
A0020_14411[c-]f	11.0	11.0	11.0	11.0
A0020_14411[c-]r	11.0	11.0	11.0	11.0
A0020_14420[c-]f	15.0	15.0	15.0	15.0
A0020_14420[c-]r	15.0	15.0	15.0	15.0
A0020_14462[c-]f	6.0	6.0	6.0	6.0
A0020_14462[c-]r	6.0	6.0	6.0	6.0
A0020_14547[c-]f	32.0	32.0	32.0	32.0
A0020_14547[c-]r	32.0	32.0	32.0	32.0
A0020_14557[c-]f	37.0	37.0	37.0	37.0
A0020_14557[c-]r	37.0	37.0	37.0	37.0
A0021_15573[c+]f	2.0	2.0	2.0	2.0
A0021_15573[c+]r	2.0	2.0	2.0	2.0
A0021_15698[c+]f	1.0	1.0	1.0	1.0
A0021_15698[c+]r	1.0	1.0	1.0	1.0
A0021_15702[c+]f	23.0	23.0	23.0	23.0
A0021_15702[c+]r	23.0	23.0	23.0	23.0
A0021_15740[c+]f	9.0	9.0	9.0	9.0
A0021_15740[c+]r	9.0	9.0	9.0	9.0
A0021_15763[c+]f	32.0	32.0	32.0	32.0
A0021_15763[c+]r	32.0	32.0	32.0	32.0
A0021_15765[c+]f	29.0	29.0	29.0	29.0
A0021_15765[c+]r	29.0	29.0	29.0	29.0
A0021_15789[c+]f	19.0	19.0	19.0	19.0
A0021_15789[c+]r	19.0	19.0	19.0	19.0
A0021_15794[c+]f	0.0	0.0	0.0	0.0
A0021_15794[c+]r	0.0	0.0	0.0	0.0
A0021_15795[c+]f	0.0	0.0	0.0	0.0
A0021_15795[c+]r	0.0	0.0	0.0	0.0
A0021_15821[c+]f	2.0	2.0	2.0	2.0
A0021_15821[c+]r	2.0	2.0	2.0	2.0
A0022_19665[c+]f	19.0	19.0	19.0	19.0
A0022_19665[c+]r	19.0	19.0	19.0	19.0
A0022_19763[c+]f	14.0	14.0	14.0	14.0
A0022_19763[c+]r	14.0	14.0	14.0	14.0
A0022_19925[c+]f	23.0	23.0	23.0	23.0
A0022_19925[c+]r	23.0	23.0	23.0	23.0
A0022_19944[c+]f	2.0	2.0	2.0	2.0
A0022_19944[c+]r	2.0	2.0	2.0	2.0
A0022_19960[c+]f	1.0	1.0	1.0	1.0
A0022_19960[c+]r	1.0	1.0	1.0	1.0
A0022_19964[c+]f	16.0	16.0	16.0	16.0
A0022_19964[c+]r	16.0	16.0	16.0	16.0
A0022_19983[c+]f	9.0	9.0	9.0	9.0
A0022_19983[c+]r	9.0	9.0	9.0	9.0
A0022_19984[c+]f	61.0	61.0	61.0	61.0
A0022_19984[c+]r	61.0	61.0	61.0	61.0
A0022_19995[c+]f	308.0	308.0	308.0	308.0
A0022_19995[c+]r	308.0	308.0	308.0	308.0
A0022_20024[c+]f	46.0	46.0	46.0	46.0
A0022_20024[c+]r	46.0	46.0	46.0	46.0
A0023_20118[c-]f	4.0	4.0	4.0	4.0
A0023_20118[c-]r	4.0	4.0	4.0	4.0
A0023_20179[c-]f	21.0	21.0	21.0	21.0
A0023_20179[c-]r	21.0	21.0	21.0	21.0
A0023_20212[c-]f	5.0	5.0	5.0	5.0
A0023_20212[c-]r	5.0	5.0	5.0	5.0
A0023_20226[c-]f	2.0	2.0	2.0	2.0
A0023_20226[c-]r	2.0	2.0	2.0	2.0
A0023_20277[c-]f	1.0	1.0	1.0	1.0
A0023_20277[c-]r	1.0	1.0	1.0	1.0
A0023_20308[c-]f	8.0	8.0	8.0	8.0
